Идентификатор$Наименование
2303$Оповещение от 112
2245$Проникновение в шахту лифта
1903$Заблокирована входная дверь подъезда, оборудованная домофоном, кодовым замком (на вход/выход)
2396$Сообщить, заменить код домофона
1922$Требуется обеспечение водой
1771$Застревание пассажира в лифте (в данный момент)
2096$Управление освещением подъезда
7907$Ввод в эксплуатацию ИПУ воды
7906$Подача документов о поверке ИПУ воды в электронном виде
